"uid","score"
1,0.754340322581
2,0.778761242186
9,0.45373375526
12,0.940210997905
14,0.228716445697
20,0.60817625048
25,0.726201065128
28,0.668686778559
30,0.955806977381
33,0.487505051132
35,0.56786184936
37,0.568308955471
43,0.626129099848
44,0.862554144037
45,0.780421153894
46,0.276766624572
52,0.150061810618
53,0.640989796511
55,0.0584088772513
56,0.88058469939
57,0.878371299548
59,0.734203823642
60,0.108110599526
66,0.500196836
74,0.414589954798
75,0.918692141788
83,0.936229936754
84,0.374767923252
87,0.598849495182
88,0.766181402574
95,0.774564731766
100,0.503751439864
101,0.717743086897
105,0.189840064409
111,0.835331016241
114,0.73875708594
116,0.611704530211
118,0.81970690082
119,0.70489488101
123,0.068000188351
129,0.537030524935
131,0.0651882196009
132,0.163658648709
137,0.48926869921
143,0.60482462556
147,0.987268387264
148,0.295714323899
149,0.459590533785
156,0.713571226993
161,0.859473352194
162,0.358871108082
170,0.302887033681
179,0.661203352552
184,0.742932844436
187,0.139611461195
191,0.240707015809
198,0.450074480276
206,0.472569901041
212,0.313926660143
221,0.580039052661
222,0.864240497275
225,0.395062712126
226,0.289173338086
228,0.486945368943
232,0.575531135077
236,0.729495393259
237,0.691423176044
242,0.000134130756493
247,0.849973433985
252,0.392559643277
253,0.776502767007
255,0.413512184667
258,0.541373226406
261,0.46036680718
264,0.801345126122
268,0.10342351323
275,0.643992493649
292,0.146488784547
293,0.816372121152
295,0.393384581075
305,0.831751146239
325,0.77602083588
328,0.997824537737
330,0.404605893849
334,0.439764786909
335,0.605015479186
350,0.760116671179
351,0.256234489517
354,0.275629262496
357,0.627200922349
360,0.553796816644
361,0.830058753876
365,0.333935802076
368,0.508452155566
369,0.90876879618
370,0.725673426216
374,0.55615204684
375,0.780206294874
377,0.486505172804
389,0.732282051312
390,0.363701692442
399,0.684668376998
401,0.569507346581
402,0.116188004006
403,0.786221307768
404,0.200621991306
405,0.620357082658
415,0.45703967173
416,0.199196035544
417,0.957776259836
425,0.801359459194
430,0.786490853664
436,0.33044082073
442,0.505927987445
445,0.871592917564
446,0.900347000189
447,0.605099974049
451,0.463343744571
